code,name,department_code,description
52083,Belén,52,Belén
52110,Buesaco,52,Buesaco
52203,Colón,52,Colón
52207,Consacá,52,Consacá
52210,Contadero,52,Contadero
52215,Córdoba,52,Córdoba
52224,Cuaspúd,52,Cuaspúd
52227,Cumbal,52,Cumbal
52233,Cumbitara,52,Cumbitara
52240,Chachagüí,52,Chachagüí
52250,El Charco,52,El Charco
52254,El Peñol,52,El Peñol
52256,El Rosario,52,El Rosario
52258,El Tablón De Gómez,52,El Tablón De Gómez
52260,El Tambo,52,El Tambo
52287,Funes,52,Funes
52317,Guachucal,52,Guachucal
52320,Guaitarilla,52,Guaitarilla
52323,Gualmatán,52,Gualmatán
52352,Iles,52,Iles
52354,Imués,52,Imués
52356,Ipiales,52,Ipiales
52378,La Cruz,52,La Cruz
52381,La Florida,52,La Florida
52385,La Llanada,52,La Llanada
52390,La Tola,52,La Tola
52399,La Unión,52,La Unión
52405,Leiva,52,Leiva
52411,Linares,52,Linares
52418,Los Andes,52,Los Andes
52427,Magüí,52,Magüí
52435,Mallama,52,Mallama
52473,Mosquera,52,Mosquera
52480,Nariño,52,Nariño
52490,Olaya Herrera,52,Olaya Herrera
52506,Ospina,52,Ospina
52520,Francisco Pizarro,52,Francisco Pizarro
52540,Policarpa,52,Policarpa
52560,Potosí,52,Potosí
52565,Providencia,52,Providencia
52573,Puerres,52,Puerres
52585,Pupiales,52,Pupiales
52612,Ricaurte,52,Ricaurte
52621,Roberto Payán,52,Roberto Payán
52678,Samaniego,52,Samaniego
52683,Sandoná,52,Sandoná
52685,San Bernardo,52,San Bernardo
52687,San Lorenzo,52,San Lorenzo
52693,San Pablo,52,San Pablo
52694,San Pedro De Cartago,52,San Pedro De Cartago
52696,Santa Bárbara,52,Santa Bárbara
52699,Santacruz,52,Santacruz
52720,Sapuyes,52,Sapuyes
52786,Taminango,52,Taminango
52788,Tangua,52,Tangua
52835,San Andrés De Tumaco,52,San Andrés De Tumaco
52838,Túquerres,52,Túquerres
52885,Yacuanquer,52,Yacuanquer
54001,San José De Cúcuta,54,San José De Cúcuta
54003,Ábrego,54,Ábrego
54051,Arboledas,54,Arboledas
54099,Bochalema,54,Bochalema
54109,Bucarasica,54,Bucarasica
54125,Cácota,54,Cácota
54128,Cáchira,54,Cáchira
54172,Chinácota,54,Chinácota
54174,Chitagá,54,Chitagá
54206,Convención,54,Convención
